id,category,parameter,value,unit,status,validationState,productionEligible,source,note
CHAR-ENG-0001,camera,render_resolution_width,500,px,SOURCE_LOCKED,MEASURED,False,Latest report,"matches measured evidence: render canvas width, px = 500"
CHAR-ENG-0002,camera,render_resolution_height,500,px,SOURCE_LOCKED,MEASURED,False,Latest report,"matches measured evidence: render canvas height, px = 500"
CHAR-ENG-0003,camera,lens_fov_height_distance,NOT_SPECIFIED,NOT_SPECIFIED,SOURCE_LOCKED,OPEN,False,Latest report: lens/FOV/height/distance NOT_SPECIFIED,"the library encodes NOT_SPECIFIED as the number 0. Lens, FOV, camera height and camera distance are NOT measured by ONIQ; a numeric 0 would read as a real value downstream. Carried as NOT_SPECIFIED, never as 0."
CHAR-ENG-0004,lighting,lighting_rendered,0,boolean,SOURCE_LOCKED,MEASURED,False,"Latest report: lighting planned only, not rendered",matches measured evidence: lighting was NOT rendered (plan only) = 0
CHAR-ENG-0005,scene,scene_rendered,0,boolean,SOURCE_LOCKED,MEASURED,False,"Latest report: scene planned only, not rendered",matches measured evidence: scene was NOT rendered (plan only) = 0
CHAR-ENG-0006,cinematic_compositing,compositing_executed,0,boolean,SOURCE_LOCKED,MEASURED,False,Latest report: cinematic compositing not run,matches measured evidence: compositing was NOT run = 0
CHAR-ENG-0007,cost,api_spend_inr,0,INR,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: API spend = 0
CHAR-ENG-0008,cost,gpu_spend_inr,0,INR,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: GPU spend = 0
CHAR-ENG-0009,reference_generation,new_references,0,count,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: new reference images generated = 0
CHAR-ENG-0010,motion,knee_channels_modified,6,channels,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: knee rotation channels damped = 6
CHAR-ENG-0011,motion,knees_damped_symmetrically,1,boolean,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: both knees damped by the same scale = 1
CHAR-ENG-0012,motion,frames_below_120_control,9,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: control frames with knee < 120 deg = 9
CHAR-ENG-0013,motion,frames_below_120_corrected,0,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: corrected frames with knee < 120 deg = 0
CHAR-ENG-0014,motion,frames_below_140_control,27,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: control frames with knee < 140 deg = 27
CHAR-ENG-0015,motion,frames_below_140_corrected,0,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: corrected frames with knee < 140 deg = 0
CHAR-ENG-0016,crossing,max_crossing_frame_control,52,frame,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: control max-crossing frame index = 52
CHAR-ENG-0017,crossing,max_crossing_frame_corrected,52,frame,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: corrected max-crossing frame index = 52
CHAR-ENG-0018,deformation,worst_corrected_iou,0.838,IoU,SOURCE_LOCKED,MEASURED,False,Latest report: centroid-aligned worst corrected frame,matches measured evidence: worst centroid-aligned frame-to-frame IoU = 0.838
CHAR-ENG-0019,deformation,corrected_frames_iou_below_090,17,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: corrected frames with IoU < 0.90 = 17
